Cleaned column,Source Qualtrics field,Question text / Qualtrics label,Import ID
Participant ID,participant_id,Participant ID; numeric IDs standardized as p#.,"{""ImportId"":""QID9_TEXT""}"
Progress,Progress,Progress,"{""ImportId"":""progress""}"
Finished,Finished,Finished,"{""ImportId"":""finished""}"
Eligibility confirmation,eligibility_confirmation,"Eligibility confirmation
Please select all statements that apply.","{""ImportId"":""QID3""}"
Consent confirmation,participant_consent_confirmation,"Participant confirmation
I confirm that I have read and understood the participant information sheet; understand that participation is voluntary; understand how my data will be collected, stored, retained, pseudonymized, and reported; and consent for my anonymized responses and written comments to be used in the thesis.","{""ImportId"":""QID7""}"
MBI master,background_mbi_master,Are you enrolled in or recently graduated from the MBI master?,"{""ImportId"":""QID10""}"
Method Engineering course,background_method_engineering,Have you completed the Method Engineering course?,"{""ImportId"":""QID11""}"
Requirements Engineering course 2024/2025,background_requirements_engineering,Have you completed the Requirements Engineering course in academic year 2024/2025?,"{""ImportId"":""QID12""}"
Mendix courses/projects,background_mendix_courses_projects,How many courses or projects have you used Mendix in?,"{""ImportId"":""QID13_TEXT""}"
Mendix experience,background_mendix_experience,How would you rate your Mendix experience?,"{""ImportId"":""QID14""}"
Requirements engineering experience,background_requirements_engineering_experience,How would you rate your requirements engineering experience?,"{""ImportId"":""QID15""}"
App 1 ID,scenario_1_unrevised_id,App 1 ID,"{""ImportId"":""QID17_TEXT""}"
App 1: Understand user stories,scenario_1_unrevised_task_comprehension_1,Task comprehension checks - I understand what the user stories for this scenario are about.,"{""ImportId"":""QID18_1""}"
App 1: Understand evaluation task,scenario_1_unrevised_task_comprehension_2,Task comprehension checks - I understand what I am being asked to evaluate in this task.,"{""ImportId"":""QID18_2""}"
App 1: Attention check,scenario_1_unrevised_task_comprehension_3,"Task comprehension checks - Attention check: to confirm that you are reading the questions carefully, select option 2 (Disagree) for this item.","{""ImportId"":""QID18_3""}"
App 1: Accurately reflects user stories,scenario_1_unrevised_requirements_fit_1,Requirements fit - The application accurately reflects the provided user stories.,"{""ImportId"":""QID19_1""}"
App 1: Covers important details,scenario_1_unrevised_requirements_fit_2,"Requirements fit - The application covers important details from the user stories, not only the main flow.","{""ImportId"":""QID19_2""}"
App 1: Data model fit,scenario_1_unrevised_requirements_fit_3,Requirements fit - The data concepts and relationships in the Mendix model fit the scenario.,"{""ImportId"":""QID19_3""}"
App 1: Workflow/process present,scenario_1_unrevised_requirements_fit_4,Requirements fit - The required workflow or process steps are present.,"{""ImportId"":""QID19_4""}"
App 1: Navigation logical,scenario_1_unrevised_application_usability_1,Application usability - Navigation between pages is logical.,"{""ImportId"":""QID20_1""}"
App 1: Access/functionality fits roles,scenario_1_unrevised_application_usability_2,Application usability - Access to functionality appears to match the responsibilities in the user stories.,"{""ImportId"":""QID20_3""}"
App 1: Model understandable for development,scenario_1_unrevised_development_value_1,Development value - The Mendix model is understandable enough for further development.,"{""ImportId"":""QID21_1""}"
App 1: Generated structure helpful,scenario_1_unrevised_development_value_2,"Development value - The generated entities, relationships, workflows, and pages form a coherent Mendix model.","{""ImportId"":""QID21_2""}"
App 1: Useful as starting point,scenario_1_unrevised_development_value_3,Development value - This output would be useful as a starting point for a Mendix project.,"{""ImportId"":""QID21_3""}"
App 1: Would reduce manual development effort,scenario_1_unrevised_development_value_4,Development value - I feel like this pipeline would reduce manual development effort.,"{""ImportId"":""QID21_4""}"
App 2 ID,Q57,Dataset 2 ID,"{""ImportId"":""QID57_TEXT""}"
App 2: Understand user stories,Q58_1,Task comprehension checks - I understand what the user stories for this scenario are about.,"{""ImportId"":""QID58_1""}"
App 2: Understand evaluation task,Q58_2,Task comprehension checks - I understand what I am being asked to evaluate in this task.,"{""ImportId"":""QID58_2""}"
App 2: Attention check,Q58_3,"Task comprehension checks - Attention check: to confirm that you are reading the questions carefully, select option 2 (Disagree) for this item.","{""ImportId"":""QID58_3""}"
App 2: Accurately reflects user stories,Q59_1,Requirements fit - The application accurately reflects the provided user stories.,"{""ImportId"":""QID59_1""}"
App 2: Covers important details,Q59_2,"Requirements fit - The application covers important details from the user stories, not only the main flow.","{""ImportId"":""QID59_2""}"
App 2: Data model fit,Q59_3,Requirements fit - The data concepts and relationships in the Mendix model fit the scenario.,"{""ImportId"":""QID59_3""}"
App 2: Workflow/process present,Q59_4,Requirements fit - The required workflow or process steps are present.,"{""ImportId"":""QID59_4""}"
App 2: Navigation logical,Q60_1,Application usability - Navigation between pages is logical.,"{""ImportId"":""QID60_1""}"
App 2: Access/functionality fits roles,Q60_2,Application usability - Access to functionality appears to match the responsibilities in the user stories.,"{""ImportId"":""QID60_3""}"
App 2: Model understandable for development,Q61_1,Development value - The Mendix model is understandable enough for further development.,"{""ImportId"":""QID61_1""}"
App 2: Generated structure helpful,Q61_2,"Development value - The generated entities, relationships, workflows, and pages form a coherent Mendix model.","{""ImportId"":""QID61_2""}"
App 2: Useful as starting point,Q61_3,Development value - This output would be useful as a starting point for a Mendix project.,"{""ImportId"":""QID61_3""}"
App 2: Would reduce manual development effort,Q61_4,Development value - I feel like this pipeline would reduce manual development effort.,"{""ImportId"":""QID61_4""}"
